time,ClgPct,ClgStg01Cmd,ClgStg02Cmd,EffRmSp,ExhAirDmprFbk,HtgPct,HtgStg01Cmd,HtgStg02Cmd,MixAirTemp,OccCmd,OccStatus,OutAirDmprFbk,OutAirHum,OutAirTemp,RmSp,RmTemp,SuplFanSpd,SuplFanStatus,UnoccClgSp,UnoccHtgSp,oppMode,ClgPct_outlier,HtgPct_outlier,OutAirTemp_outlier,RmTemp_outlier,SuplFanSpd_outlier
2025-01-28 06:30:00,0.0,1.0,1.0,68.2,52.0,16.66666667,1.333333333,1.0,61.3,1.0,1.0,0.0,32.0,44.03333333,70.0,67.1,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 06:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.63333333,1.0,1.0,0.0,32.0,44.4,70.0,69.56666667,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 07:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.33333333,1.0,1.0,0.0,32.33333333,43.76666667,70.0,67.3,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 07:15:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.4,1.0,1.0,0.0,33.66666667,43.93333333,70.0,68.76666667,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 07:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.46666667,1.0,1.0,0.0,33.0,43.76666667,70.0,67.43333333,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 07:45:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.5,1.0,1.0,0.0,34.0,44.2,70.0,68.93333333,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 08:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.6,1.0,1.0,0.0,34.0,44.73333333,70.0,67.43333333,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 08:15:00,0.0,1.0,1.0,68.2,52.0,16.66666667,1.333333333,1.0,62.4,1.0,1.0,0.0,34.0,44.7,70.0,68.73333333,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 08:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,61.86666667,1.0,1.0,0.0,34.0,45.16666667,70.0,67.93333333,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 08:45:00,0.0,1.0,1.0,68.2,52.0,16.66666667,1.333333333,1.0,61.7,1.0,1.0,0.0,34.33333333,44.53333333,70.0,67.3,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 09:00:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.6,1.0,1.0,0.0,34.66666667,45.6,70.0,69.13333333,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 09:15:00,0.0,1.0,1.0,68.2,52.0,16.66666667,1.333333333,1.0,61.36666667,1.0,1.0,0.0,34.33333333,45.16666667,70.0,67.1,100.0,2.0,80.0,60.0,0,False,False,False,False,False
2025-01-28 09:30:00,0.0,1.0,1.0,68.2,52.0,0.0,1.0,1.0,62.7,1.0,1.0,0.0,35.33333333,45.76666667,70.0,69.5,100.0,2.0,80.0,60.0,0,False,False,False,False,False
